clip_id,source,angle_median,angle_min,angle_max,p1_x,p1_y,p2_x,p2_y,camera_x,camera_y,camera_height,focal_px,n_frames_used,n_frames_hip_fallback,reproj_rmse_px
03jodankeri-1_20,03jodankeri-1_norm.mp4,43.71,8.03,76.15,-2.340,-0.611,-0.725,0.848,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-1_21,03jodankeri-1_norm.mp4,37.48,6.37,78.21,-2.404,-0.464,-0.619,0.839,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-1_22,03jodankeri-1_norm.mp4,37.34,8.07,75.51,-2.400,-0.543,-0.515,0.852,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-1_23,03jodankeri-1_norm.mp4,45.05,9.35,86.25,-2.502,-0.234,-0.821,1.216,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-1_24,03jodankeri-1_norm.mp4,31.29,6.97,81.21,-3.422,-0.332,-0.693,1.200,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-1_25,03jodankeri-1_norm.mp4,39.19,8.02,82.49,-2.490,0.101,-0.716,1.216,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-1_26,03jodankeri-1_norm.mp4,44.14,9.21,81.73,-2.291,0.108,-0.733,1.374,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-1_27,03jodankeri-1_norm.mp4,42.01,5.25,85.42,-2.439,0.166,-0.704,1.272,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-1_28,03jodankeri-1_norm.mp4,52.37,9.47,84.79,-1.987,0.017,-0.759,1.287,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-1_29,03jodankeri-1_norm.mp4,33.63,7.59,85.53,-2.739,0.189,-0.727,1.120,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-1_30,03jodankeri-1_norm.mp4,33.13,7.38,86.17,-3.053,0.036,-0.759,1.241,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-2_10,03jodankeri-2_norm.mp4,59.26,12.76,89.36,-0.966,-1.086,-1.536,0.050,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-2_11,03jodankeri-2_norm.mp4,64.32,12.48,89.58,-1.016,-1.084,-1.551,0.352,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-2_12,03jodankeri-2_norm.mp4,53.57,12.81,90.00,-1.068,-1.099,-2.291,0.467,5.753,-0.007,1.143,1443.3,60,0,2.97
03jodankeri-2_13,03jodankeri-2_norm.mp4,54.43,13.08,87.21,-1.030,-1.087,-2.182,0.467,5.753,-0.007,1.143,1443.3,60,0,2.97
